tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt3234680	tvEpisode	The Return	The Return	0	2013	\N	41	Crime,Drama,Mystery
tt3234826	tvEpisode	Hitting the Fan	Hitting the Fan	0	2013	\N	43	Crime,Drama,Mystery
tt3236364	tvEpisode	Big Brother	Big Brother	0	2013	\N	39	Action,Adventure,Comedy
tt3236366	tvEpisode	The Livelong Day	The Livelong Day	0	2013	\N	43	Action,Adventure,Comedy
tt3236368	tvEpisode	The Frozen Lake	The Frozen Lake	0	2013	\N	44	Action,Adventure,Comedy
tt3236372	tvEpisode	Iron Curtain Rising	Iron Curtain Rising	0	2013	\N	43	Action,Adventure,Comedy
tt3236374	tvEpisode	Zero Days	Zero Days	0	2014	\N	43	Action,Adventure,Comedy
tt3236382	tvEpisode	Allegiance	Allegiance	0	2014	\N	43	Action,Adventure,Comedy
tt3236386	tvEpisode	Merry Evasion	Merry Evasion	0	2013	\N	44	Action,Adventure,Comedy
tt3236388	tvEpisode	Recovery	Recovery	0	2013	\N	42	Action,Adventure,Comedy
tt3236390	tvEpisode	War Cries	War Cries	0	2014	\N	43	Action,Adventure,Comedy
tt3236396	tvEpisode	Tuhon	Tuhon	0	2014	\N	44	Action,Adventure,Comedy
tt3236398	tvEpisode	Windfall	Windfall	0	2014	\N	43	Action,Adventure,Comedy
tt3236402	tvEpisode	Spoils of War	Spoils of War	0	2014	\N	44	Action,Adventure,Comedy
tt3236404	tvEpisode	Fish Out of Water	Fish Out of Water	0	2014	\N	43	Action,Adventure,Comedy
tt3236408	tvEpisode	Three Hearts	Three Hearts	0	2014	\N	43	Action,Adventure,Comedy
tt3236410	tvEpisode	Exposure	Exposure	0	2014	\N	42	Action,Adventure,Comedy
tt3236420	tvEpisode	Deep Trouble, Part 1	Deep Trouble, Part 1	0	2014	\N	44	Action,Adventure,Comedy
tt3236424	tvEpisode	Between the Lines	Between the Lines	0	2014	\N	44	Action,Adventure,Comedy
tt3236434	tvEpisode	One More Chance	One More Chance	0	2014	\N	41	Action,Adventure,Comedy
tt3236558	tvEpisode	Route 66	Route 66	0	2013	\N	42	Crime,Drama,Mystery
tt3237272	tvEpisode	Let's Be Mad Together	Let's Be Mad Together	0	2013	\N	42	Comedy,Drama
tt32379359	tvEpisode	Episode #9.4	Episode #9.4	0	2024	\N	57	Crime,Drama,Mystery
tt32379448	tvEpisode	Episode #9.5	Episode #9.5	0	2024	\N	57	Crime,Drama,Mystery
tt32379594	tvEpisode	Episode #9.6	Episode #9.6	0	2024	\N	57	Crime,Drama,Mystery
tt3238752	tvEpisode	Live Feed	Live Feed	0	2014	\N	44	Comedy,Crime,Drama
tt3238754	tvEpisode	Shot Through the Heart	Shot Through the Heart	0	2014	\N	43	Comedy,Crime,Drama
tt3238756	tvEpisode	Taking Stock	Taking Stock	0	2014	\N	43	Comedy,Crime,Drama
tt32400951	tvEpisode	Dancers in the Dark	Dancers in the Dark	0	2024	\N	43	Comedy,Crime,Drama
tt32407737	tvEpisode	The Scared Stiff Job	The Scared Stiff Job	0	2025	\N	\N	Crime,Mystery,Thriller
tt32407738	tvEpisode	The Hustler Job	The Hustler Job	0	2025	\N	\N	Crime,Mystery,Thriller
tt32407739	tvEpisode	The Grand Complication Job	The Grand Complication Job	0	2025	\N	\N	Crime,Mystery,Thriller
tt32407740	tvEpisode	The Swipe Right Job	The Swipe Right Job	0	2025	\N	\N	Crime,Mystery,Thriller
tt32407741	tvEpisode	The Shakedown in Clone-Town Job	The Shakedown in Clone-Town Job	0	2025	\N	\N	Crime,Mystery,Thriller
tt32407742	tvEpisode	The Polygeist Job	The Polygeist Job	0	2025	\N	\N	Crime,Mystery,Thriller
tt32407744	tvEpisode	The Side Job	The Side Job	0	2025	\N	\N	Crime,Mystery,Thriller
tt3240812	tvEpisode	Thriller	Thriller	0	2013	\N	43	Drama,Romance
tt32446124	tvEpisode	Episode #3.1	Episode #3.1	0	2026	\N	\N	Action,Adventure,Drama
tt3247716	tvEpisode	Strange Fruit	Strange Fruit	0	2013	\N	44	Crime,Drama,Mystery
tt3247720	tvEpisode	Platonish	Platonish	0	2013	\N	22	Comedy,Drama,Romance
tt3255172	tvEpisode	The M Word	The M Word	0	2013	\N	42	Comedy,Drama
tt3255194	tvEpisode	Ancient History	Ancient History	0	2013	\N	44	Action,Adventure,Crime
tt32558792	tvEpisode	Rome, in a Day	Rome, in a Day	0	2024	\N	42	Crime,Drama
tt32558793	tvEpisode	A Guy Named Greg	A Guy Named Greg	0	2024	\N	41	Crime,Drama
tt32558796	tvEpisode	The Rabbit and the Hawk	The Rabbit and the Hawk	0	2024	\N	41	Crime,Drama
tt32558798	tvEpisode	Claws	Claws	0	2024	\N	40	Crime,Drama
tt32558800	tvEpisode	Sixteen Steps	Sixteen Steps	0	2024	\N	40	Crime,Drama
tt32559400	tvEpisode	Belly of the Beast	Belly of the Beast	0	2024	\N	40	Crime,Drama
tt32559414	tvEpisode	No, No Monsters	No, No Monsters	0	2024	\N	40	Crime,Drama
tt32562156	tvEpisode	Swimmer's Calculus	Swimmer's Calculus	0	2025	\N	\N	Crime,Drama,Mystery
tt3257422	tvEpisode	The Choice	The Choice	0	2014	\N	28	Comedy
tt32588104	tvEpisode	Paper Mountain Girl: Part 1	Paper Mountain Girl: Part 1	0	2025	\N	46	Crime,Drama
tt3259028	tvEpisode	Alicia	Alicia	0	2014	\N	27	Comedy
tt3259044	tvEpisode	Still	Still	0	2014	\N	42	Drama,Horror,Thriller
