tconst	ordering	nconst	category	job	characters
tt0477197	2	nm0845281	actress	\N	["Linda Wallander"]
tt0477197	3	nm0635262	actor	\N	["Stefan Lindman"]
tt0477197	4	nm1061220	actress	\N	["Ann-Britt Höglund"]
tt0477197	5	nm0348267	actor	\N	["Svartman"]
tt0477197	6	nm0489162	actress	\N	["Lisa Holgersson"]
tt0477197	7	nm0423928	actor	\N	["Martinsson"]
tt0477197	8	nm0074835	actor	\N	["Nyberg"]
tt0477197	9	nm0252286	actress	\N	["Rättsläkare"]
tt0477197	10	nm0617908	actress	\N	["Ebba"]
tt0491230	1	nm0377631	actor	\N	["Kurt Wallander"]
tt0491230	2	nm0845281	actress	\N	["Linda Wallander"]
tt0491230	3	nm0635262	actor	\N	["Stefan Lindman"]
tt0491230	4	nm1061220	actress	\N	["Ann-Britt Höglund"]
tt0491230	5	nm0348267	actor	\N	["Svartman"]
tt0491230	6	nm0423928	actor	\N	["Martinsson"]
tt0491230	7	nm0074835	actor	\N	["Nyberg"]
tt0491230	8	nm0617908	actress	\N	["Ebba"]
tt0491230	9	nm0093210	actor	\N	["Kenneth Nilsson"]
tt0491230	10	nm0252286	actress	\N	["Karin Linder"]
tt0491231	1	nm0377631	actor	\N	["Kurt Wallander"]
tt0491231	2	nm0845281	actress	\N	["Linda Wallander"]
tt0491231	3	nm0635262	actor	\N	["Stefan Lindman"]
tt0491231	4	nm1061220	actress	\N	["Ann-Britt Höglund"]
tt0491231	5	nm0348267	actor	\N	["Svartman"]
tt0491231	6	nm0423928	actor	\N	["Martinsson"]
tt0491231	7	nm0074835	actor	\N	["Nyberg"]
tt0491231	8	nm0617908	actress	\N	["Ebba"]
tt0491231	9	nm0635962	actor	\N	["Kuratorn"]
tt0491231	10	nm0351349	actor	\N	["Vaktis"]
tt0495914	1	nm0377631	actor	\N	["Kurt Wallander"]
tt0495914	2	nm0845281	actress	\N	["Linda Wallander"]
tt0495914	3	nm0635262	actor	\N	["Stefan Lindman"]
tt0495914	4	nm0423928	actor	\N	["Martinsson"]
tt0495914	5	nm1061220	actress	\N	["Ann-Britt Höglund"]
tt0495914	6	nm0074835	actor	\N	["Nyberg"]
tt0495914	7	nm0348267	actor	\N	["Svartman"]
tt0495914	8	nm0617908	actress	\N	["Ebba"]
tt0495914	9	nm0252286	actress	\N	["Obducenten"]
tt0495914	10	nm0638824	actor	\N	["Lothar Kraftzcyk"]
tt0509000	1	nm0863790	actor	\N	["James Herriot"]
tt0509000	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509000	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0509000	4	nm0069019	actress	\N	["Helen Herriot"]
tt0509000	5	nm0569475	actor	\N	["Calum Buchanan"]
tt0509000	6	nm0343942	actor	\N	["Granville Bennett"]
tt0509000	7	nm0758012	actress	\N	["Zoe Bennett"]
tt0509000	8	nm0291596	actress	\N	["Susan Vaughan"]
tt0509000	9	nm0498730	actor	\N	["Colonel Bosworth"]
tt0509000	10	nm0055573	actress	\N	["Rachael Bosworth"]
tt0509001	1	nm0863790	actor	\N	["James Herriot"]
tt0509001	2	nm0362735	actor	\N	["Siegfried Farnon"]
tt0509001	3	nm0205749	actor	\N	["Tristan Farnon"]
tt0509001	4	nm0069019	actress	\N	["Helen Herriot"]
tt0509001	5	nm0382402	actress	\N	["Mrs Alton"]
